"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Use","Purpose of Use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Renovation","Transactional factors"
1868,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Honjo","Ryogoku","7",34000000,"1LDK","35",,"","","","2009","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
1869,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Honjo","Ryogoku","7",12000000,"1K","15",,"","","","1989","SRC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","",""
1870,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Kikukawa (Tokyo)","8",28000000,"1K","25",,"","","","2016","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"2nd quarter 2023","",""
1871,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Kikukawa (Tokyo)","9",26000000,"1K","25",,"","","","2012","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
1872,"Residential Land(Land and Building)","Residential Area","13107","Tokyo","Sumida Ward","Midori","Kikukawa (Tokyo)","8",870000000,"","195",,"Irregular Shaped","9.7","900","2021","RC","Housing Complex","House","South","Ward Road",11.0,"Commercial Zone",80,400,"1st quarter 2023","",""
1873,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Kikukawa (Tokyo)","8",23000000,"1K","20",,"","","","2009","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","Not yet",""
1874,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Kikukawa (Tokyo)","8",44000000,"2LDK","45",,"","","","2013","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","Not yet",""
1875,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Kinshicho","9",64000000,"3LDK","70",,"","","","1999","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","Done",""
1876,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Kinshicho","8",42000000,"1LDK","35",,"","","","2013","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
1877,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Kinshicho","10",19000000,"1K","25",,"","","","2013","RC","House","Other","","",,"Commercial Zone",80,600,"1st quarter 2023","Not yet",""
1878,"Residential Land(Land Only)","Commercial Area","13107","Tokyo","Sumida Ward","Midori","Ryogoku","4",120000000,"","95",1300000,"Irregular Shaped","4.0","","","","","House","South","National Road",27.0,"Commercial Zone",80,600,"2nd quarter 2023","",""
1879,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Ryogoku","9",19000000,"1K","20",,"","","","2007","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"2nd quarter 2023","",""
1880,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Ryogoku","5",51000000,"2LDK","50",,"","","","2009","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"2nd quarter 2023","Done",""
1881,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Ryogoku","1",20000000,"","20",,"","","","2006","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","",""
1882,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Ryogoku","4",25000000,"1K","25",,"","","","2013","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","",""
1883,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Ryogoku","8",53000000,"1LDK+S","50",,"","","","2018","RC","House","","","",,"Neighborhood Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
1884,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Ryogoku","9",21000000,"1K","25",,"","","","2011","RC","House","","","",,"Neighborhood Commercial Zone",80,400,"2nd quarter 2023","",""
1885,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Ryogoku","5",25000000,"1K","20",,"","","","2008","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","Done",""
1886,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Ryogoku","5",41000000,"1LDK","35",,"","","","2009","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
1887,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Ryogoku","6",25000000,"1K","25",,"","","","2015","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","",""
1888,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Ryogoku","6",25000000,"1K","25",,"","","","2015","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","",""
1889,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Ryogoku","8",44000000,"2LDK","50",,"","","","2014","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
1890,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Ryogoku","9",35000000,"1LDK","45",,"","","","2005","SRC","House","House","","",,"Commercial Zone",80,600,"2nd quarter 2023","Not yet",""
1891,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Ryogoku","8",27000000,"1K","25",,"","","","2018","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","Done",""
1892,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Ryogoku","9",25000000,"1K","25",,"","","","2013","RC","House","Other","","",,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","Done",""
1893,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Ryogoku","8",30000000,"1K","25",,"","","","2018","RC","House","Other","","",,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","Not yet",""
1894,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Midori","Ryogoku","6",34000000,"1K","30",,"","","","2015","RC","House","House","","",,"Commercial Zone",80,400,"1st quarter 2023","Not yet",""
1895,"Residential Land(Land Only)","Commercial Area","13107","Tokyo","Sumida Ward","Mukojima","Oshiage","8",58000000,"","60",970000,"Rectangular Shaped","4.8","","","","","Office","Northeast","Ward Road",8.0,"Commercial Zone",80,500,"2nd quarter 2023","",""
1896,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Oshiage","6",24000000,"1K","25",,"","","","2012","RC","House","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","Not yet",""
1897,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Oshiage","6",25000000,"1K","25",,"","","","2012","RC","House","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","",""
1898,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Oshiage","6",40000000,"1LDK","40",,"","","","2012","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
1899,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Oshiage","10",29000000,"1DK","25",,"","","","2017","RC","House","House","","",,"Commercial Zone",80,400,"1st quarter 2023","Not yet",""
1900,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Oshiage","10",30000000,"","35",,"","","","2016","RC","House","Other","","",,"Commercial Zone",80,400,"1st quarter 2023","",""
1901,"Residential Land(Land and Building)","Residential Area","13107","Tokyo","Sumida Ward","Mukojima","Tokyo Skytree","6",60000000,"","85",,"Semi-rectangular Shaped","5.5","70","1993","LS","Warehouse","Warehouse","Northwest","Ward Road",8.0,"Commercial Zone",80,400,"2nd quarter 2023","",""
1902,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Tokyo Skytree","1",11000000,"1K","15",,"","","","1986","SRC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","Done",""
1903,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Tokyo Skytree","4",24000000,"1K","25",,"","","","2016","RC","House","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","",""
1904,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Tokyo Skytree","4",24000000,"1K","25",,"","","","2016","RC","House","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","Not yet",""
1905,"Residential Land(Land Only)","Commercial Area","13107","Tokyo","Sumida Ward","Mukojima","Tokyo Skytree","10",43000000,"","40",1000000,"Rectangular Shaped","","","","","","House","Southeast","Ward Road",10.9,"Commercial Zone",80,400,"1st quarter 2023","",""
1906,"Residential Land(Land and Building)","Commercial Area","13107","Tokyo","Sumida Ward","Mukojima","Tokyo Skytree","12",31000000,"","80",,"&quot;Flag-shaped&quot; etc.","","85","1972","W","House","House","Northwest","Ward Road",66.0,"Commercial Zone",80,400,"1st quarter 2023","",""
1907,"Residential Land(Land and Building)","Commercial Area","13107","Tokyo","Sumida Ward","Mukojima","Tokyo Skytree","3",98000000,"","70",,"Semi-shaped","5.0","95","1961","W","House, Factory","Factory","East","Ward Road",22.0,"Commercial Zone",80,400,"1st quarter 2023","","Dealings of adjacent land"
1908,"Residential Land(Land and Building)","Commercial Area","13107","Tokyo","Sumida Ward","Mukojima","Tokyo Skytree","4",200000000,"","75",,"Semi-rectangular Shaped","5.5","190","2020","RC","Other","Other","Northwest","Ward Road",3.2,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","",""
1909,"Residential Land(Land Only)","Residential Area","13107","Tokyo","Sumida Ward","Mukojima","Tokyo Skytree","5",160000000,"","125",1200000,"Semi-rectangular Shaped","6.8","","","","","House","Southwest","Ward Road",8.0,"Quasi-industrial Zone",60,300,"1st quarter 2023","",""
1910,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Tokyo Skytree","6",27000000,"1K","25",,"","","","2011","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","",""
1911,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Tokyo Skytree","3",25000000,"","20",,"","","","2008","RC","House","","","",,"Commercial Zone",80,400,"1st quarter 2023","",""
1912,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","9",30000000,"1K","25",,"","","","2022","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
1913,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","9",30000000,"1K","25",,"","","","2022","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
1914,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","9",30000000,"1K","25",,"","","","2022","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
1915,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","9",30000000,"1K","25",,"","","","2022","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
1916,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","9",30000000,"1K","25",,"","","","2022","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
1917,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","9",26000000,"1DK","30",,"","","","2008","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
1918,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","9",30000000,"1K","25",,"","","","2022","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
1919,"Residential Land(Land and Building)","Residential Area","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","5",63000000,"","55",,"Semi-shaped","10.6","75","2023","W","House","House","West","Ward Road",3.4,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","",""
1920,"Residential Land(Land Only)","Commercial Area","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","10",210000000,"","160",1300000,"Semi-rectangular Shaped","10.0","","","","","House","Northwest","Ward Road",6.0,"Commercial Zone",80,400,"1st quarter 2023","",""
1921,"Residential Land(Land and Building)","Residential Area","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","9",18000000,"","40",,"Trapezoidal Shaped","4.4","45","1974","W","House","House","West","Ward Road",3.4,"Commercial Zone",80,400,"1st quarter 2023","",""
1922,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","10",43000000,"1LDK","40",,"","","","2020","RC","House","Other","","",,"Commercial Zone",80,400,"1st quarter 2023","Done",""
1923,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","10",22000000,"","25",,"","","","2015","RC","House","House","","",,"Commercial Zone",80,400,"1st quarter 2023","",""
1924,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","10",43000000,"2LDK","55",,"","","","2009","RC","House","House","","",,"Commercial Zone",80,400,"1st quarter 2023","Done",""
1925,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","7",14000000,"1K","15",,"","","","1991","SRC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Done",""
1926,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","9",20000000,"1K","25",,"","","","2012","RC","House","House","","",,"Commercial Zone",80,400,"1st quarter 2023","",""
1927,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","7",8000000,"1R","15",,"","","","1991","SRC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
1928,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","7",14000000,"1R","15",,"","","","1991","SRC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
1929,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Hikifune","7",13000000,"1K","15",,"","","","1991","SRC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","",""
1930,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Mukojima","Honjoazumabashi","5",25000000,"1K","25",,"","","","2012","RC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Not yet",""
1931,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Yahiro","Omurai","8",50000000,"3LDK","65",,"","","","2000","RC","House","House","","",,"Quasi-industrial Zone",80,200,"2nd quarter 2023","Done",""
1932,"Residential Land(Land and Building)","Residential Area","13107","Tokyo","Sumida Ward","Yahiro","Keiseihikifune","5",50000000,"","60",,"Irregular Shaped","2.2","80","2022","W","House","House","Northwest","Ward Road",4.2,"Quasi-industrial Zone",80,200,"2nd quarter 2023","",""
1933,"Residential Land(Land and Building)","Residential Area","13107","Tokyo","Sumida Ward","Yahiro","Keiseihikifune","10",35000000,"","60",,"Semi-shaped","7.5","135","1998","S","House","House","East","Private Road",4.0,"Quasi-industrial Zone",80,200,"2nd quarter 2023","",""
1934,"Residential Land(Land and Building)","Residential Area","13107","Tokyo","Sumida Ward","Yahiro","Keiseihikifune","8",60000000,"","65",,"Rectangular Shaped","8.6","85","2024","W","House","House","East","Private Road",4.0,"Quasi-industrial Zone",80,200,"2nd quarter 2023","","Dealings including private road"
1935,"Residential Land(Land and Building)","Residential Area","13107","Tokyo","Sumida Ward","Yahiro","Keiseihikifune","6",50000000,"","75",,"Semi-rectangular Shaped","5.6","150","1979","S","Housing Complex","House","East","Private Road",3.2,"Quasi-industrial Zone",80,200,"1st quarter 2023","",""
1936,"Residential Land(Land and Building)","Residential Area","13107","Tokyo","Sumida Ward","Yahiro","Yahiro","10",57000000,"","80",,"Semi-trapezoidal Shaped","","90","2023","W","House","House","East","Private Road",4.0,"Quasi-industrial Zone",80,200,"2nd quarter 2023","",""
1937,"Residential Land(Land Only)","Residential Area","13107","Tokyo","Sumida Ward","Yahiro","Yahiro","11",31000000,"","70",460000,"Semi-rectangular Shaped","4.5","","","","","","East","Ward Road",4.5,"Quasi-industrial Zone",80,200,"2nd quarter 2023","","Dealings including private road"
1938,"Residential Land(Land and Building)","Residential Area","13107","Tokyo","Sumida Ward","Yahiro","Yahiro","8",110000000,"","200",,"Semi-trapezoidal Shaped","17.7","180","1997","LS","Housing Complex","House","West","Private Road",4.0,"Quasi-industrial Zone",80,200,"2nd quarter 2023","",""
1939,"Residential Land(Land and Building)","Residential Area","13107","Tokyo","Sumida Ward","Yahiro","Yahiro","12",11000000,"","35",,"Rectangular Shaped","4.7","35","1977","W","House","Other","East","Private Road",2.7,"Quasi-industrial Zone",80,200,"2nd quarter 2023","",""
1940,"Residential Land(Land and Building)","Residential Area","13107","Tokyo","Sumida Ward","Yahiro","Yahiro","7",500000000,"","510",,"Rectangular Shaped","21.0","440","2018","S","Other","Other","South","Private Road",3.1,"Quasi-industrial Zone",80,200,"2nd quarter 2023","","Dealings including private road"
1941,"Residential Land(Land and Building)","Commercial Area","13107","Tokyo","Sumida Ward","Yahiro","Yahiro","9",70000000,"","75",,"Semi-rectangular Shaped","4.9","100","2023","W","Other","Shop","South","Ward Road",4.3,"Neighborhood Commercial Zone",80,300,"2nd quarter 2023","","Dealings including private road"
1942,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Yahiro","Yahiro","7",8700000,"1K","15",,"","","","1988","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","Done",""
1943,"Residential Land(Land and Building)","Residential Area","13107","Tokyo","Sumida Ward","Yahiro","Yahiro","1",53000000,"","85",,"Semi-shaped","7.8","75","2023","W","House","House","North","Private Road",3.0,"Quasi-industrial Zone",80,200,"1st quarter 2023","",""
1944,"Residential Land(Land and Building)","Residential Area","13107","Tokyo","Sumida Ward","Yahiro","Yahiro","11",59000000,"","65",,"Trapezoidal Shaped","7.1","105","2023","W","House","House","Southwest","Private Road",4.0,"Quasi-industrial Zone",80,200,"1st quarter 2023","","Dealings including private road"
1945,"Residential Land(Land and Building)","Residential Area","13107","Tokyo","Sumida Ward","Yahiro","Yahiro","12",130000000,"","280",,"Irregular Shaped","","185","2023","W","Housing Complex","House","Southwest","Ward Road",3.6,"Quasi-industrial Zone",80,200,"1st quarter 2023","",""
1946,"Residential Land(Land and Building)","Commercial Area","13107","Tokyo","Sumida Ward","Yahiro","Yahiro","6",20000000,"","65",,"Semi-rectangular Shaped","8.0","105","1959","W","House, Shop","Warehouse","Southeast","Ward Road",11.0,"Commercial Zone",80,400,"1st quarter 2023","","Dealings between related objects"
1947,"Residential Land(Land Only)","Residential Area","13107","Tokyo","Sumida Ward","Yahiro","Yahiro","6",19000000,"","50",360000,"Irregular Shaped","6.9","","","","","House","Northeast","Road",3.7,"Quasi-industrial Zone",80,200,"1st quarter 2023","",""
1948,"Residential Land(Land Only)","Residential Area","13107","Tokyo","Sumida Ward","Yahiro","Yahiro","8",19000000,"","40",460000,"Semi-square Shaped","6.2","","","","","House","South","Private Road",2.7,"Quasi-industrial Zone",80,200,"1st quarter 2023","",""
1949,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Yahiro","Yahiro","5",46000000,"3LDK","60",,"","","","2000","SRC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Done",""
1950,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Yahiro","Yahiro","12",23000000,"2DK","40",,"","","","1979","SRC, RC","House","House","","",,"Quasi-industrial Zone",80,400,"1st quarter 2023","Done",""
1951,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Yahiro","Yahiro","4",27000000,"3LDK","60",,"","","","1995","RC","House","House","","",,"Commercial Zone",80,400,"1st quarter 2023","Not yet",""
1952,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Yokoami","Ryogoku","6",43000000,"1LDK","50",,"","","","2006","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
1953,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Yokokawa","Oshiage","9",25000000,"1K","25",,"","","","2015","RC","House","House","","",,"Neighborhood Commercial Zone",80,300,"2nd quarter 2023","Not yet",""
1954,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Yokokawa","Oshiage","6",40000000,"1LDK","40",,"","","","2013","RC","House","House","","",,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","Not yet",""
1955,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Yokokawa","Oshiage","7",24000000,"1K","20",,"","","","2008","RC","House","House","","",,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","Not yet",""
1956,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Yokokawa","Oshiage","8",39000000,"1LDK","40",,"","","","2012","RC","House","House","","",,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","Not yet",""
1957,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Yokokawa","Kinshicho","11",31000000,"1K","25",,"","","","2021","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
1958,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Yokokawa","Kinshicho","9",29000000,"1K","25",,"","","","2013","RC","House","Other","","",,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","Not yet",""
1959,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","7",19000000,"1K","20",,"","","","2009","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
1960,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","7",24000000,"1K","25",,"","","","2013","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","",""
1961,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","7",21000000,"1K","20",,"","","","2009","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","",""
1962,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","1",16000000,"1K","20",,"","","","1981","SRC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Done",""
1963,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","4",25000000,"1K","20",,"","","","2008","RC","House","Other","","",,"Commercial Zone",80,500,"2nd quarter 2023","Not yet",""
1964,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","4",28000000,"1K","25",,"","","","2013","RC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Not yet",""
1965,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","6",30000000,"1K","25",,"","","","2017","RC","House","Other","","",,"Commercial Zone",80,500,"2nd quarter 2023","",""
1966,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","4",34000000,"1LDK","40",,"","","","2013","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
1967,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","6",40000000,"1LDK","40",,"","","","2018","RC","House","House","","",,"Commercial Zone",80,400,"1st quarter 2023","Not yet",""
1968,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","2",79000000,"Open Floor","80",,"","","","1981","SRC","Other","Shop","","",,"Commercial Zone",80,500,"1st quarter 2023","Done",""
1969,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","7",31000000,"1K","25",,"","","","2017","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
1970,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","3",33000000,"1K","25",,"","","","2016","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
1971,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","7",30000000,"2K","35",,"","","","1988","SRC","House","House","","",,"Commercial Zone",80,400,"1st quarter 2023","Done",""
1972,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","4",44000000,"1LDK","40",,"","","","2014","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
1973,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","4",21000000,"1K","20",,"","","","2008","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
1974,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","6",22000000,"1K","20",,"","","","2006","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
1975,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","2",42000000,"","65",,"","","","2010","RC","House","House","","",,"Commercial Zone",80,600,"1st quarter 2023","","Dealings between related objects"
1976,"Pre-owned Condominiums, etc.","","13107","Tokyo","Sumida Ward","Ryogoku","Ryogoku","7",26000000,"1K","25",,"","","","2012","RC","House","House","","",,"Commercial Zone",80,400,"1st quarter 2023","Not yet",""
1977,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake (Tokyo)","5",72000000,"2LDK","50",,"","","","2019","RC","House","House","","",,"Category I Residential Zone",60,300,"2nd quarter 2023","Not yet",""
1978,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake (Tokyo)","7",58000000,"1LDK","40",,"","","","2019","RC","House","House","","",,"Category I Residential Zone",60,300,"2nd quarter 2023","Not yet",""
1979,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake (Tokyo)","5",75000000,"2LDK","50",,"","","","2019","RC","House","House","","",,"Category I Residential Zone",60,300,"2nd quarter 2023","Not yet",""
1980,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake (Tokyo)","5",74000000,"2LDK","50",,"","","","2019","RC","House","House","","",,"Category I Residential Zone",60,300,"2nd quarter 2023","Done",""
1981,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake (Tokyo)","5",72000000,"2LDK","55",,"","","","2019","RC","House","House","","",,"Category I Residential Zone",60,300,"1st quarter 2023","",""
1982,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake (Tokyo)","5",92000000,"3LDK","70",,"","","","2019","RC","House","House","","",,"Category I Residential Zone",60,300,"1st quarter 2023","Not yet",""
